station,valid,sped
MAF,2021-02-25 08:53,16.10
MAF,2021-02-25 09:53,12.65
MAF,2021-02-25 10:53,11.50
MAF,2021-02-25 11:53,10.35
MAF,2021-02-25 12:53,13.80
MAF,2021-02-25 13:13,12.65
MAF,2021-02-25 13:53,14.95
MAF,2021-02-25 14:53,16.10
MAF,2021-02-25 15:53,17.25
MAF,2021-02-25 16:53,13.80
MAF,2021-02-25 17:53,12.65
MAF,2021-02-25 18:53,12.65
MAF,2021-02-25 19:53,11.50
MAF,2021-02-25 20:53,9.20
MAF,2021-02-25 21:18,11.50
MAF,2021-02-25 21:53,6.90
MAF,2021-02-25 22:31,6.90
MAF,2021-02-25 22:53,10.35
MAF,2021-02-25 23:53,9.20
MAF,2021-02-26 00:53,10.35
MAF,2021-02-26 01:53,6.90
MAF,2021-02-26 02:53,6.90
MAF,2021-02-26 03:53,9.20
MAF,2021-02-26 04:53,9.20
MAF,2021-02-26 05:53,9.20
MAF,2021-02-26 06:53,8.05
MAF,2021-02-26 07:53,4.60
MAF,2021-02-26 08:53,3.45
MAF,2021-02-26 09:41,3.45
MAF,2021-02-26 09:53,4.60
MAF,2021-02-26 10:53,3.45
MAF,2021-02-26 11:53,3.45
MAF,2021-02-26 12:53,5.75
MAF,2021-02-26 13:53,0.00
MAF,2021-02-26 14:53,6.90
MAF,2021-02-26 15:53,3.45
MAF,2021-02-26 16:53,5.75
MAF,2021-02-26 17:53,10.35
MAF,2021-02-26 18:53,6.90
MAF,2021-02-26 19:53,11.50
MAF,2021-02-26 20:53,6.90
MAF,2021-02-26 21:53,20.70
MAF,2021-02-26 22:53,16.10
MAF,2021-02-26 23:53,5.75
MAF,2021-02-27 00:53,5.75
MAF,2021-02-27 01:53,9.20
MAF,2021-02-27 02:53,0.00
MAF,2021-02-27 03:53,4.60
MAF,2021-02-27 04:53,0.00
MAF,2021-02-27 05:53,0.00
MAF,2021-02-27 06:53,0.00
MAF,2021-02-27 07:53,0.00
MAF,2021-02-27 08:53,3.45
MAF,2021-02-27 09:53,0.00
MAF,2021-02-27 10:53,0.00
MAF,2021-02-27 11:53,5.75
MAF,2021-02-27 12:53,0.00
MAF,2021-02-27 13:53,0.00
MAF,2021-02-27 14:53,3.45
MAF,2021-02-27 15:53,9.20
MAF,2021-02-27 16:53,6.90
MAF,2021-02-27 17:53,8.05
MAF,2021-02-27 18:53,10.35
MAF,2021-02-27 19:53,13.80
MAF,2021-02-27 20:53,18.40
MAF,2021-02-27 21:53,17.25
MAF,2021-02-27 22:53,17.25
MAF,2021-02-27 23:53,13.80
MAF,2021-02-28 00:53,6.90
MAF,2021-02-28 01:53,8.05
MAF,2021-02-28 02:53,8.05
MAF,2021-02-28 03:53,5.75
MAF,2021-02-28 04:53,9.20
MAF,2021-02-28 05:53,12.65
MAF,2021-02-28 06:53,9.20
MAF,2021-02-28 07:24,6.90
MAF,2021-02-28 07:53,6.90
MAF,2021-02-28 08:53,5.75
MAF,2021-02-28 09:42,5.75
MAF,2021-02-28 09:53,4.60
MAF,2021-02-28 10:31,0.00
MAF,2021-02-28 10:35,0.00
MAF,2021-02-28 10:53,4.60
MAF,2021-02-28 10:59,4.60
MAF,2021-02-28 11:04,4.60
MAF,2021-02-28 11:33,3.45
MAF,2021-02-28 11:53,4.60
MAF,2021-02-28 12:53,5.75
MAF,2021-02-28 13:53,10.35
MAF,2021-02-28 14:53,19.55
MAF,2021-02-28 15:53,19.55
MAF,2021-02-28 16:53,17.25
MAF,2021-02-28 17:53,17.25
MAF,2021-02-28 18:53,13.80
MAF,2021-02-28 19:53,11.50
MAF,2021-02-28 20:53,9.20
MAF,2021-02-28 21:53,10.35
MAF,2021-02-28 22:53,14.95
