"","wind_speed_LGF","wind_speed_NYL","wind_speed_NOZ","wind_speed_ODO","wind_speed_MAF","wind_speed_MDD"
"513",5.75,4.6,5.175,11.5,13.225,12.65
"514",13.225,8.05,8.05,9.4875,5.75,8.05
"515",18.4,13.225,9.2,12.075,10.925,6.325
"516",22.425,9.775,15.525,11.5,11.5,9.775
"517",18.975,21.85,17.825,6.9,7.475,8.05
"518",24.725,19.55,19.55,5.75,2.875,5.75
"519",17.825,25.875,24.15,3.45,7.475,6.325
"520",14.95,23,28.75,7.475,7.475,6.9
"521",13.225,17.25,22.425,11.5,10.35,10.35
"522",8.05,9.2,13.225,10.35,9.2,9.775
"523",6.325,8.05,8.625,11.5,15.525,9.2
"524",9.775,9.775,5.175,10.35,12.075,12.65
"525",7.475,14.95,13.8,14.95,12.65,13.8
"526",10.925,4.6,12.65,15.525,14.95,14.95
"527",6.325,9.2,8.05,19.55,20.125,15.525
"528",8.625,1.725,5.75,16.1,17.25,16.675
"529",6.9,4.025,0,24.15,14.375,12.075
"530",5.75,5.175,2.875,21.85,24.15,21.85
"531",2.3,5.75,7.475,25.875,24.15,28.175
"532",4.025,3.45,8.625,24.725,27.6,28.175
"533",3.45,2.875,8.05,18.975,19.55,18.4
"534",0,3.7375,6.9,12.65,18.4,17.825
"535",1.725,4.6,8.05,15.525,15.525,20.125
"536",0,5.75,5.175,24.725,28.75,24.15
"537",4.6,6.325,2.3,24.15,28.175,16.9625
"538",2.875,2.875,3.45,23,21.85,13.36875
"539",4.6,0,2.3,18.975,19.55,11.571875
"540",1.725,6.325,2.3,12.65,17.25,10.6734375
"541",4.025,3.45,5.175,14.95,17.25,10.22421875
"542",4.025,5.75,5.175,12.65,14.95,9.999609375
"543",2.3,1.725,2.875,10.35,11.5,9.8873046875
"544",0,0,6.9,8.05,12.65,9.83115234375
"545",0,2.3,6.9,4.025,4.6,9.803076171875
"546",0,1.725,7.475,6.9,7.475,9.7890380859375
"547",4.6,3.45,4.6,5.75,8.05,9.78201904296875
"548",1.725,2.875,3.45,10.35,11.5,9.77850952148437
"549",0,2.3,8.625,6.9,7.1875,9.77675476074219
"550",0,1.725,2.875,2.3,8.625,9.77587738037109
"551",5.75,1.725,6.325,8.625,8.625,9.77543869018555
"552",0,6.325,4.6,6.325,8.05,9.77521934509277
"553",5.75,6.325,6.325,7.475,8.05,9.77510967254639
"554",5.75,4.6,5.75,7.475,8.625,9.77505483627319
"555",4.6,0,2.3,9.2,11.5,9.7750274181366
"556",0,2.3,4.6,11.5,13.225,9.7750137090683
"557",3.45,0,1.725,8.625,6.9,9.77500685453415
"558",2.875,1.725,4.025,9.775,4.025,9.77500342726707
"559",0,1.725,1.725,6.9,7.475,9.77500171363354
"560",0,2.3,4.025,14.375,12.65,9.775
"561",1.725,4.025,3.45,11.5,11.5,10.925
"562",0,2.3,3.45,9.2,7.475,8.625
"563",8.625,4.025,6.325,10.925,9.775,8.625
"564",4.6,2.875,0,12.65,12.65,9.775
"565",7.475,5.75,5.75,9.2,9.775,6.9
"566",6.325,1.725,0,9.775,9.775,8.625
"567",6.325,2.3,6.325,9.2,8.05,5.75
"568",0,8.05,6.9,9.2,9.2,4.6
"569",4.6,6.325,5.175,8.625,8.05,4.6
"570",4.6,9.2,5.175,9.775,6.9,5.75
"571",0,4.6,6.325,9.775,10.35,8.05
"572",7.475,4.025,0,17.825,18.4,13.8
"573",9.775,10.35,10.35,17.825,17.825,15.525
"574",13.225,12.075,12.65,14.95,17.25,18.4
"575",13.225,13.225,13.225,18.975,18.975,19.55
"576",18.4,15.525,12.075,18.975,19.55,16.1
"577",13.8,17.25,14.375,16.1,13.225,16.1
"578",12.65,14.375,11.5,16.1,11.5,12.65
"579",10.35,6.9,9.775,16.1,13.8,14.375
"580",6.325,8.05,6.9,17.25,14.375,14.375
"581",0,8.05,6.325,17.825,18.975,13.225
"582",6.9,7.475,7.475,14.95,17.825,15.525
"583",8.05,6.9,3.45,15.525,20.7,14.95
"584",7.475,4.025,6.9,17.25,18.4,17.825
"585",12.65,9.2,13.225,18.4,18.4,18.4
"586",8.625,9.775,8.625,15.525,16.675,17.25
"587",4.6,8.625,6.325,13.8,14.95,13.8
"588",8.625,11.5,10.925,15.525,18.4,15.525
"589",9.775,9.2,14.95,14.375,17.825,16.1
"590",6.9,12.075,10.925,14.375,16.675,16.675
"591",10.925,14.95,18.4,17.25,18.4,17.25
"592",9.2,9.775,12.075,20.7,24.15,17.25
"593",9.2,12.075,7.475,14.375,14.375,15.525
"594",11.5,3.45,8.05,9.2,7.475,10.925
"595",9.2,4.6,8.05,12.075,16.1,14.375
"596",8.05,11.5,7.475,16.1,17.825,14.375
"597",17.825,13.8,14.375,21.85,22.425,18.975
"598",13.225,10.35,14.95,21.275,24.725,20.125
"599",8.625,9.775,13.8,33.35,38.525,28.175
"600",8.625,8.625,6.325,27.025,25.3,25.3
"601",8.625,7.475,5.175,12.65,22.425,17.25
"602",5.75,7.475,7.475,6.9,9.775,10.35
"603",7.475,8.05,10.35,7.475,8.05,9.2
"604",9.775,5.175,8.625,7.475,6.9,8.05
"605",3.45,7.475,6.325,8.625,6.325,6.9
"606",6.9,4.025,6.325,0,2.875,3.45
"607",12.65,8.625,2.3,0,4.025,4.6
"608",14.95,14.95,6.325,2.875,2.3,1.725
"609",13.225,16.675,27.025,7.475,5.175,5.175
"610",10.925,19.55,20.7,9.2,10.925,8.05
"611",17.825,13.8,15.525,14.95,12.075,10.35
"612",10.35,10.925,11.5,12.65,14.375,15.525
"613",11.5,12.65,14.95,5.75,5.75,4.6
"614",10.35,10.35,14.95,10.925,12.075,8.05
"615",8.05,12.65,13.8,12.65,14.375,9.2
"616",2.875,8.625,5.75,18.4,19.55,10.35
"617",4.025,6.9,8.05,16.1,14.95,12.075
"618",6.9,9.2,8.05,16.1,16.675,16.675
"619",20.125,12.075,8.625,15.525,20.125,18.975
"620",22.425,14.375,16.1,19.55,17.825,18.4
"621",21.85,22.425,20.7,15.525,14.375,16.1
"622",14.95,13.8,16.1,4.025,9.775,7.475
"623",13.225,13.225,17.825,10.925,6.325,8.05
"624",14.375,7.475,10.925,20.125,14.375,12.65
"625",7.475,9.2,7.475,20.125,25.3,23
"626",6.325,6.9,8.05,12.075,14.375,13.8
"627",5.175,5.175,7.475,14.375,13.225,11.5
"628",5.175,4.6,8.625,11.5,9.2,7.475
"629",4.6,6.9,9.2,6.9,7.475,6.9
"630",0,0,9.775,5.175,7.475,6.9
"631",2.3,10.925,8.625,4.025,4.6,4.025
"632",5.75,10.925,14.375,8.625,7.475,6.325
"633",12.65,9.775,12.075,18.975,18.975,15.525
"634",11.5,5.75,9.775,16.1,17.25,14.95
"635",16.1,9.775,12.075,12.075,15.525,15.525
"636",18.4,10.925,15.525,12.65,16.675,14.95
"637",15.525,16.1,17.25,6.325,8.05,7.475
"638",14.95,14.95,8.05,8.05,7.475,6.9
"639",16.675,15.525,5.175,8.625,7.475,6.9
"640",4.025,9.775,6.9,12.075,9.2,8.05
"641",5.175,5.75,0,12.65,10.35,7.475
"642",5.175,6.325,1.725,10.35,8.625,6.325
"643",2.3,6.325,1.725,10.925,8.625,4.6
"644",6.325,10.35,5.175,16.675,17.25,14.95
"645",12.075,16.675,14.375,10.925,11.5,12.075
"646",5.175,13.8,14.375,17.825,17.825,12.65
"647",6.325,5.4625,6.325,14.95,15.525,13.225
"648",9.2,3.45,10.35,11.5,16.1,12.65
"649",8.625,6.325,6.325,4.6,8.625,5.175
"650",5.175,4.6,5.175,4.6,7.475,6.9
"651",2.3,5.175,2.3,5.175,7.475,6.9
"652",2.3,5.175,5.175,8.625,8.625,4.6
"653",0,0,5.175,9.2,8.625,6.9
"654",0,1.725,8.05,10.35,7.475,5.75
"655",6.9,4.6,6.325,11.5,12.65,8.05
"656",8.05,8.625,13.225,17.25,17.25,12.65
"657",14.95,12.65,13.225,14.95,14.95,14.375
"658",13.225,6.325,13.225,1.4375,10.35,8.625
"659",15.525,12.075,10.925,2.875,4.025,6.325
"660",9.775,9.2,10.925,6.325,10.925,5.75
"661",9.2,6.9,10.35,15.525,20.7,17.25
"662",5.175,4.6,6.325,26.45,28.175,21.85
"663",1.725,2.875,5.175,14.95,18.975,16.1
"664",1.725,0,3.45,12.65,14.95,10.925
"665",0,0,2.3,9.2,9.2,8.05
"666",0,2.3,8.625,10.35,10.925,8.05
"667",4.025,3.45,12.075,9.2,9.2,7.475
"668",4.6,8.05,9.775,14.95,12.075,10.925
"669",0,12.65,12.65,12.075,12.65,10.35
"670",3.45,8.625,10.925,5.75,8.05,6.9
"671",3.45,4.025,12.9375,7.475,4.6,5.75
"672",2.3,2.3,9.775,12.075,0,6.325
"673",7.475,5.75,6.9,6.9,8.05,5.75
"674",6.9,5.175,8.625,6.325,6.325,6.325
"675",3.45,3.45,6.9,11.5,11.5,8.625
"676",0,5.175,8.625,10.925,10.35,10.35
"677",0,1.725,10.35,8.05,9.775,7.475
"678",0,2.875,9.775,7.475,9.2,11.5
"679",3.45,1.725,9.2,7.475,8.05,8.625
"680",3.45,2.875,4.025,16.1,19.55,14.375
"681",0,2.3,7.475,18.4,18.975,16.1
"682",0,1.725,3.45,19.55,18.4,17.825
"683",8.625,4.025,8.625,18.975,19.55,17.25
"684",12.075,7.475,5.75,16.675,20.125,16.675
"685",9.2,8.05,9.2,19.55,20.125,16.675
"686",8.05,10.35,6.9,18.975,18.4,18.4
"687",10.35,6.9,7.475,18.4,16.1,16.1
"688",0,8.3375,7.475,17.25,14.375,17.25
"689",0,9.775,11.5,15.525,14.95,16.675
"690",0,2.5875,10.925,17.25,12.65,14.95
"691",0,1.725,5.75,11.5,11.5,12.65
"692",3.45,4.025,2.875,7.475,11.5,11.5
"693",23.575,15.525,12.65,14.95,13.8,12.65
"694",21.85,16.675,18.975,14.95,12.075,10.925
"695",18.4,13.8,18.4,12.075,11.5,9.2
"696",18.4,14.375,18.4,16.1,16.675,12.075
"697",18.4,10.35,13.225,9.2,16.1,16.1
"698",12.65,8.625,10.35,16.675,20.125,17.825
"699",18.975,6.9,7.475,18.975,21.85,18.975
"700",19.55,8.05,15.525,24.15,27.025,17.25
"701",14.95,13.8,13.8,18.4,19.55,17.825
"702",13.8,11.5,6.325,16.1,20.7,14.95
"703",10.925,9.2,9.2,13.225,18.975,14.95
"704",16.675,6.325,13.225,20.7,23,18.975
"705",18.4,13.225,16.675,18.4,17.25,18.975
"706",11.5,10.35,14.95,16.675,14.95,17.825
"707",4.6,6.9,9.2,15.525,13.8,12.65
"708",14.375,6.9,5.75,12.65,14.375,12.075
"709",13.225,10.35,9.775,10.35,13.225,12.075
"710",8.625,6.9,8.625,10.35,12.65,8.625
"711",12.075,8.05,9.775,11.5,14.375,8.625
"712",14.95,2.875,9.2,10.35,9.775,8.05
"713",10.35,12.075,9.2,9.775,9.2,6.9
"714",0,9.2,10.35,9.2,6.325,5.175
"715",10.35,2.875,14.375,8.625,6.9,5.175
"716",10.35,7.475,16.675,16.1,15.525,13.225
"717",9.775,10.925,13.225,15.525,18.975,17.25
"718",9.775,7.475,6.9,16.675,14.375,16.1
"719",7.475,4.025,7.475,12.075,15.525,14.375
"720",6.9,6.325,9.2,14.375,14.375,13.8
"721",10.925,7.475,8.625,14.375,14.375,12.65
"722",9.775,8.625,8.05,12.65,9.2,10.925
"723",8.05,1.725,2.3,9.775,6.9,8.625
"724",1.725,1.725,2.3,8.625,6.9,8.05
"725",2.875,9.2,12.075,9.2,9.775,8.05
"726",9.2,8.625,10.925,9.775,10.925,10.35
"727",5.75,4.6,12.075,10.35,11.5,10.35
"728",7.475,9.775,12.65,21.275,25.875,18.4
"729",5.175,5.175,8.05,17.825,23,19.55
"730",2.875,2.875,2.875,20.125,21.275,20.125
"731",6.325,2.3,4.025,17.825,21.275,18.975
"732",11.5,8.05,6.325,16.675,20.125,18.975
"733",12.65,7.475,9.775,18.975,21.85,18.975
"734",6.325,6.325,6.9,12.075,18.975,14.375
"735",10.925,7.475,9.2,10.35,9.2,10.35
"736",2.3,4.6,9.2,13.8,8.625,8.05
"737",0,3.45,5.75,10.925,12.075,12.075
"738",0,2.3,4.6,9.775,6.9,8.625
"739",1.725,0,3.45,10.925,11.5,9.775
"740",2.3,2.875,2.3,13.225,12.65,13.225
"741",6.325,4.6,5.75,19.55,18.975,14.375
"742",8.625,5.75,2.875,14.95,17.25,15.525
"743",7.475,4.025,7.475,16.675,17.25,14.375
"744",10.925,8.05,8.625,14.95,17.25,14.95
"745",13.8,8.05,8.05,16.1,14.375,14.95
"746",6.325,2.3,3.45,19.55,14.95,13.8
"747",4.6,6.325,6.325,17.25,16.675,14.95
"748",2.3,2.3,2.3,13.8,14.95,12.65
"749",0,1.725,6.325,7.475,12.075,8.625
"750",4.6,0,5.75,5.75,8.05,8.625
"751",1.725,1.725,0,8.05,8.05,6.325
"752",0,0,1.725,8.625,9.2,8.05
"753",5.175,3.45,4.6,9.2,11.5,10.35
"754",4.025,6.9,6.9,11.5,10.35,12.075
"755",7.475,6.9,3.45,15.525,16.1,14.95
"756",13.8,8.625,7.475,16.1,14.95,13.225
"757",10.35,5.75,4.6,16.675,17.25,15.525
"758",6.9,5.175,0,11.5,17.25,13.8
"759",6.9,9.2,9.2,13.225,17.25,13.225
"760",8.625,7.475,6.325,12.65,14.95,12.65
"761",7.475,5.175,4.6,13.8,12.65,9.775
"762",4.025,4.025,4.025,8.05,6.325,5.75
"763",5.75,5.175,3.45,10.925,14.95,8.625
"764",6.325,7.475,2.875,13.8,17.25,13.225
"765",5.175,10.925,8.625,12.65,14.95,14.375
"766",14.95,14.95,11.5,14.95,17.25,16.1
"767",14.95,16.1,19.55,16.675,17.825,17.25
"768",21.275,14.95,21.85,20.125,21.275,17.825
"769",20.7,12.075,15.525,22.425,19.55,19.55
"770",9.2,12.075,14.375,21.85,20.125,17.825
"771",21.275,12.075,12.075,20.7,19.55,16.675
"772",16.675,11.5,15.525,20.7,19.55,16.1
"773",1.725,10.35,14.375,18.4,18.975,18.975
"774",5.75,5.75,2.875,15.525,17.25,17.25
"775",4.025,6.325,2.875,16.675,19.55,17.825
"776",8.625,2.875,5.75,17.825,18.975,17.825
"777",11.5,7.475,6.325,19.55,20.7,18.975
"778",11.5,9.2,8.05,19.55,24.725,21.85
"779",10.925,10.925,6.325,24.725,25.875,21.275
"780",10.925,6.325,10.35,22.425,28.175,21.85
"781",9.775,4.025,8.625,11.5,15.525,16.675
"782",5.175,5.75,8.05,12.075,9.775,8.625
"783",1.725,8.625,5.75,10.35,9.2,6.9
"784",5.175,4.6,4.025,13.8,13.225,12.075
"785",5.175,2.875,0,12.65,11.5,9.775
"786",4.6,3.45,2.875,14.95,18.4,13.8
"787",1.725,1.725,3.45,12.65,13.8,10.925
